RANK,"MALE NAME","NUMBER OF MALES"
1,Liam,19837
2,Noah,18267
3,William,14516
4,James,13525
5,Oliver,13389
6,Benjamin,13381
7,Elijah,12886
8,Lucas,12585
9,Mason,12435
10,Logan,12352
11,Alexander,11989
12,Ethan,11854
13,Jacob,11770
14,Michael,11620
15,Daniel,11173
16,Henry,10649
17,Jackson,10323
18,Sebastian,10054
19,Aiden,9979
20,Matthew,9924
21,Samuel,9734
22,David,9697
23,Joseph,9555
24,Carter,9312
25,Owen,9288
26,Wyatt,9127
27,John,9119
28,Jack,8834
29,Luke,8577
30,Jayden,8553
31,Dylan,8549
32,Grayson,8538
33,Levi,8440
34,Isaac,8417
35,Gabriel,8335
36,Julian,8307
37,Mateo,8169
38,Anthony,8003
39,Jaxon,7701
40,Lincoln,7368
41,Joshua,7364
42,Christopher,7261
43,Andrew,7234
44,Theodore,7020
45,Caleb,6929
46,Ryan,6905
47,Asher,6802
48,Nathan,6790
49,Thomas,6779
50,Leo,6719
51,Isaiah,6614
52,Charles,6604
53,Josiah,6603
54,Hudson,6540
55,Christian,6509
56,Hunter,6066
57,Connor,6058
58,Eli,6027
59,Ezra,6000
60,Aaron,5953
61,Landon,5827
62,Adrian,5788
63,Jonathan,5712
64,Nolan,5607
65,Jeremiah,5561
66,Easton,5429
67,Elias,5310
68,Colton,5284
69,Cameron,5271
70,Carson,5227
71,Robert,5140
72,Angel,5032
73,Maverick,5014
74,Nicholas,4801
75,Dominic,4753
76,Jaxson,4734
77,Greyson,4728
78,Adam,4675
79,Ian,4675
80,Austin,4651
81,Santiago,4647
82,Jordan,4646
83,Cooper,4441
84,Brayden,4383
85,Roman,4364
86,Evan,4356
87,Ezekiel,4319
88,Xavier,4298
89,Jose,4292
90,Jace,4276
91,Jameson,4221
92,Leonardo,4205
93,Bryson,4194
94,Axel,4055
95,Everett,4001
96,Parker,3978
97,Kayden,3972
98,Miles,3964
99,Sawyer,3858
100,Jason,3847
101,Declan,3792
102,Weston,3760
103,Micah,3718
104,Ayden,3655
105,Wesley,3609
106,Luca,3589
107,Vincent,3552
108,Damian,3540
109,Zachary,3528
110,Silas,3479
111,Gavin,3449
112,Chase,3429
113,Kai,3421
114,Emmett,3416
115,Harrison,3394
116,Nathaniel,3351
117,Kingston,3330
118,Cole,3327
119,Tyler,3298
120,Bennett,3271
121,Bentley,3250
122,Ryker,3223
123,Tristan,3195
124,Brandon,3183
125,Kevin,3124
126,Luis,3084
127,George,3059
128,Ashton,3035
129,Rowan,3020
130,Braxton,2991
131,Ryder,2984
132,Gael,2922
133,Ivan,2897
134,Diego,2880
135,Maxwell,2876
136,Max,2857
137,Carlos,2839
138,Kaiden,2832
139,Juan,2826
140,Maddox,2797
141,Justin,2787
142,Waylon,2774
143,Calvin,2747
144,Giovanni,2747
145,Jonah,2697
146,Abel,2663
147,Jayce,2635
148,Jesus,2631
149,Amir,2584
150,King,2579
151,Beau,2576
152,Camden,2543
153,Alex,2505
154,Jasper,2484
155,Malachi,2473
156,Brody,2470
157,Jude,2468
