RANK,"MALE NAME","NUMBER OF MALES","FEMALE NAME","NUMBER OF FEMALES"
1,Liam,19837,Emma,18688
2,Noah,18267,Olivia,17921
3,William,14516,Ava,14924
4,James,13525,Isabella,14464
5,Oliver,13389,Sophia,13928
6,Benjamin,13381,Charlotte,12940
7,Elijah,12886,Mia,12642
8,Lucas,12585,Amelia,12301
9,Mason,12435,Harper,10582
10,Logan,12352,Evelyn,10376
11,Alexander,11989,Abigail,9796
12,Ethan,11854,Emily,8656
13,Jacob,11770,Elizabeth,8513
14,Michael,11620,Mila,8126
15,Daniel,11173,Ella,8055
16,Henry,10649,Avery,8053
17,Jackson,10323,Sofia,7621
18,Sebastian,10054,Camila,7473
19,Aiden,9979,Aria,7394
20,Matthew,9924,Scarlett,7182
21,Samuel,9734,Victoria,7089
22,David,9697,Madison,7036
23,Joseph,9555,Luna,6897
24,Carter,9312,Grace,6724
25,Owen,9288,Chloe,6626
26,Wyatt,9127,Penelope,6474
27,John,9119,Layla,6468
28,Jack,8834,Riley,5976
29,Luke,8577,Zoey,5899
30,Jayden,8553,Nora,5799
31,Dylan,8549,Lily,5706
32,Grayson,8538,Eleanor,5694
33,Levi,8440,Hannah,5629
34,Isaac,8417,Lillian,5534
35,Gabriel,8335,Addison,5203
36,Julian,8307,Aubrey,5190
37,Mateo,8169,Ellie,5190
38,Anthony,8003,Stella,5121
39,Jaxon,7701,Natalie,5095
40,Lincoln,7368,Zoe,5062
41,Joshua,7364,Leah,4995
42,Christopher,7261,Hazel,4916
43,Andrew,7234,Violet,4794
44,Theodore,7020,Aurora,4785
45,Caleb,6929,Savannah,4745
46,Ryan,6905,Audrey,4662
47,Asher,6802,Brooklyn,4611
48,Nathan,6790,Bella,4518
49,Thomas,6779,Claire,4379
50,Leo,6719,Skylar,4378
51,Isaiah,6614,Lucy,4354
52,Charles,6604,Paisley,4333
53,Josiah,6603,Everly,4313
54,Hudson,6540,Anna,4145
55,Christian,6509,Caroline,4136
56,Hunter,6066,Nova,4124
