RANK,"FEMALE NAME","NUMBER OF FEMALES"
1,Emma,18688
2,Olivia,17921
3,Ava,14924
4,Isabella,14464
5,Sophia,13928
6,Charlotte,12940
7,Mia,12642
8,Amelia,12301
9,Harper,10582
10,Evelyn,10376
11,Abigail,9796
12,Emily,8656
13,Elizabeth,8513
14,Mila,8126
15,Ella,8055
16,Avery,8053
17,Sofia,7621
18,Camila,7473
19,Aria,7394
20,Scarlett,7182
21,Victoria,7089
22,Madison,7036
23,Luna,6897
24,Grace,6724
25,Chloe,6626
26,Penelope,6474
27,Layla,6468
28,Riley,5976
29,Zoey,5899
30,Nora,5799
31,Lily,5706
32,Eleanor,5694
33,Hannah,5629
34,Lillian,5534
35,Addison,5203
36,Aubrey,5190
37,Ellie,5190
38,Stella,5121
39,Natalie,5095
40,Zoe,5062
41,Leah,4995
42,Hazel,4916
43,Violet,4794
44,Aurora,4785
45,Savannah,4745
46,Audrey,4662
47,Brooklyn,4611
48,Bella,4518
49,Claire,4379
50,Skylar,4378
51,Lucy,4354
52,Paisley,4333
53,Everly,4313
54,Anna,4145
55,Caroline,4136
56,Nova,4124
57,Genesis,4068
58,Emilia,4020
59,Kennedy,3924
60,Samantha,3897
61,Maya,3882
62,Willow,3881
63,Kinsley,3856
64,Naomi,3821
65,Aaliyah,3811
66,Elena,3758
67,Sarah,3734
68,Ariana,3715
69,Allison,3678
70,Gabriella,3677
71,Alice,3643
72,Madelyn,3634
73,Cora,3574
74,Ruby,3552
75,Eva,3542
76,Serenity,3517
77,Autumn,3471
78,Adeline,3463
79,Hailey,3449
80,Gianna,3429
81,Valentina,3416
82,Isla,3393
83,Eliana,3373
84,Quinn,3369
85,Nevaeh,3359
86,Ivy,3256
87,Sadie,3247
88,Piper,3202
89,Lydia,3184
90,Alexa,3053
91,Josephine,3023
92,Emery,2993
93,Julia,2989
94,Delilah,2982
95,Arianna,2956
96,Vivian,2956
97,Kaylee,2938
98,Sophie,2929
99,Brielle,2919
100,Madeline,2897
101,Peyton,2896
102,Rylee,2886
103,Clara,2877
104,Hadley,2861
105,Melanie,2841
106,Mackenzie,2810
107,Reagan,2803
108,Adalynn,2801
109,Liliana,2773
110,Aubree,2767
111,Jade,2673
112,Katherine,2666
113,Isabelle,2640
114,Natalia,2617
115,Raelynn,2599
116,Maria,2595
117,Athena,2582
118,Ximena,2558
119,Arya,2545
120,Leilani,2505
121,Taylor,2478
122,Faith,2442
123,Rose,2432
124,Kylie,2416
125,Alexandra,2394
126,Mary,2327
127,Margaret,2312
128,Lyla,2288
129,Ashley,2267
130,Amaya,2256
131,Eliza,2254
132,Brianna,2235
133,Bailey,2163
134,Andrea,2154
135,Khloe,2136
136,Jasmine,2133
137,Melody,2131
138,Iris,2109
139,Isabel,2052
140,Norah,1999
141,Annabelle,1977
142,Valeria,1976
143,Emerson,1935
144,Adalyn,1930
145,Ryleigh,1915
146,Eden,1894
147,Emersyn,1886
148,Anastasia,1880
149,Kayla,1875
150,Alyssa,1870
151,Juliana,1842
152,Charlie,1840
153,Esther,1831
154,Ariel,1810
155,Cecilia,1798
156,Valerie,1794
157,Alina,1791
158,Molly,1790
159,Reese,1788
160,Aliyah,1765
161,Lilly,1755
162,Parker,1754
163,Finley,1749
164,Morgan,1749
165,Sydney,1749
166,Jordyn,1735
167,Eloise,1733
168,Trinity,1707
169,Daisy,1702
170,Kimberly,1696
171,Lauren,1696
172,Genevieve,1692
173,Sara,1692
174,Arabella,1686
175,Harmony,1668
176,Elise,1664
177,Remi,1644
178,Teagan,1644
179,Alexis,1640
180,London,1632
181,Sloane,1623
182,Laila,1608
183,Lucia,1606
184,Diana,1605
185,Juliette,1600
186,Sienna,1587
187,Elliana,1580
188,Londyn,1580
189,Ayla,1575
190,Callie,1574
191,Gracie,1566
192,Josie,1565
193,Amara,1564
194,Jocelyn,1555
195,Daniela,1553
196,Everleigh,1546
197,Mya,1545
198,Rachel,1544
199,Summer,1528
200,Alana,1523
201,Brooke,1518
202,Alaina,1517
203,Mckenzie,1507
204,Catherine,1498
205,Amy,1497
206,Presley,1486
207,Journee,1481
208,Rosalie,1460
209,Ember,1458
210,Brynlee,1455
211,Rowan,1447
212,Joanna,1444
213,Paige,1443
214,Rebecca,1442
215,Ana,1440
216,Sawyer,1421
217,Mariah,1416
218,Nicole,1416
219,Brooklynn,1415
220,Payton,1413
221,Marley,1410
222,Fiona,1408
223,Georgia,1406
224,Lila,1395
225,Harley,1393
226,Adelyn,1375
227,Alivia,1373
228,Noelle,1371
229,Gemma,1369
230,Vanessa,1369
231,Journey,1363
232,Makayla,1362
233,Angelina,1360
234,Adaline,1359
235,Catalina,1358
236,Alayna,1354
237,Julianna,1354
238,Leila,1352
239,Lola,1352
240,Adriana,1347
241,June,1342
242,Juliet,1336
243,Jayla,1334
244,River,1321
245,Tessa,1315
246,Lia,1310
247,Dakota,1307
248,Delaney,1306
249,Selena,1306
250,Blakely,1304
251,Ada,1288
252,Camille,1277
253,Zara,1275
254,Malia,1266
255,Hope,1265
256,Samara,1261
257,Vera,1257
258,Mckenna,1254
259,Briella,1248
260,Izabella,1246
261,Hayden,1243
262,Raegan,1241
263,Michelle,1239
264,Angela,1236
265,Ruth,1234
266,Freya,1231
267,Kamila,1230
268,Vivienne,1226
269,Aspen,1223
270,Olive,1222
271,Kendall,1209
272,Elaina,1205
273,Thea,1194
274,Kali,1193
275,Destiny,1189
276,Amiyah,1186
277,Evangeline,1185
278,Cali,1182
279,Blake,1181
280,Elsie,1178
281,Juniper,1173
282,Alexandria,1165
283,Myla,1163
284,Ariella,1161
285,Kate,1156
286,Mariana,1148
287,Lilah,1145
288,Charlee,1141
289,Daleyza,1126
290,Nyla,1126
291,Jane,1123
292,Maggie,1122
293,Zuri,1122
294,Aniyah,1118
295,Lucille,1115
296,Leia,1114
297,Melissa,1114
298,Adelaide,1111
299,Amina,1109
300,Giselle,1104
301,Lena,1094
302,Camilla,1088
